punk_id,skin_tone
0,medium
1,dark
2,light
3,dark
4,medium
5,medium
6,medium
7,medium
8,dark
9,medium
10,dark
11,medium
12,dark
13,light
14,dark
15,dark
16,medium
17,light
18,medium
19,dark
20,light
21,light
22,dark
23,light
24,light
25,dark
26,medium
27,light
28,dark
29,medium
30,dark
31,dark
32,light
33,light
34,light
35,dark
36,medium
37,dark
38,light
39,light
40,medium
41,dark
42,dark
43,medium
44,light
45,medium
46,medium
47,dark
48,light
49,dark
50,medium
51,medium
52,dark
53,light
54,dark
55,light
56,dark
57,light
58,dark
59,light
60,light
61,light
62,dark
63,dark
64,medium
65,medium
66,dark
67,dark
68,dark
69,dark
70,medium
71,light
72,dark
73,medium
74,dark
75,medium
76,light
77,dark
78,medium
79,dark
80,light
81,light
82,light
83,light
84,light
85,dark
86,dark
87,light
88,light
89,dark
90,medium
91,light
92,light
93,light
94,dark
95,medium
96,light
97,medium
98,light
99,medium
100,medium
101,medium
102,dark
103,dark
104,dark
105,light
106,light
107,medium
108,light
109,dark
110,dark
111,dark
112,medium
113,light
114,dark
115,dark
116,dark
117,zombie
118,light
119,medium
120,medium
121,light
122,light
123,medium
124,dark
125,light
126,light
127,medium
128,medium
129,light
130,light
131,medium
132,dark
133,medium
134,medium
135,light
136,dark
137,dark
138,light
139,medium
140,dark
141,dark
142,light
143,light
144,dark
145,light
146,light
147,light
148,medium
149,dark
150,medium
151,medium
152,light
153,medium
154,dark
155,dark
156,dark
157,medium
158,light
159,light
160,medium
161,dark
162,dark
163,dark
164,medium
165,medium
166,dark
167,medium
168,light
169,medium
170,light
171,medium
172,medium
173,dark
174,dark
175,medium
176,dark
177,dark
178,medium
179,light
180,dark
181,dark
182,light
183,medium
184,dark
185,light
186,dark
187,light
188,dark
189,light
190,dark
191,dark
192,medium
193,light
194,light
195,light
196,light
197,dark
198,dark
199,light
200,dark
201,medium
202,light
203,light
204,medium
205,dark
206,light
207,light
208,medium
209,dark
210,medium
211,dark
212,dark
213,medium
214,dark
215,medium
216,medium
217,medium
218,light
219,dark
220,light
221,dark
222,light
223,medium
224,light
225,medium
226,medium
227,medium
228,medium
229,light
230,dark
231,medium
232,dark
233,light
234,light
235,light
236,light
237,dark
238,medium
239,dark
240,medium
241,light
242,dark
243,light
244,light
245,dark
246,dark
247,dark
248,dark
249,light
250,medium
251,light
252,light
253,dark
254,light
255,light
256,dark
257,light
258,medium
259,light
260,dark
261,dark
262,dark
263,light
264,light
265,dark
266,dark
267,dark
268,light
269,dark
270,medium
271,medium
272,medium
273,light
274,light
275,medium
276,light
277,light
278,light
279,medium
280,light
281,light
282,light
283,light
284,light
285,light
286,light
287,light
288,light
289,medium
290,medium
291,medium
292,light
293,light
294,dark
295,medium
296,medium
297,medium
298,light
299,dark
300,light
301,light
302,medium
303,dark
304,medium
305,light
306,light
307,medium
308,light
309,medium
310,dark
311,light
312,medium
313,light
314,light
315,medium
316,dark
317,medium
318,light
319,light
320,dark
321,medium
322,medium
323,dark
324,light
325,dark
326,dark
327,light
328,light
329,medium
330,medium
331,light
332,dark
333,light
334,medium
335,medium
336,medium
337,medium
338,light
339,light
340,medium
341,light
342,light
343,medium
344,dark
345,medium
346,medium
347,medium
348,light
349,dark
350,medium
351,light
352,medium
353,light
354,light
355,light
356,light
357,dark
358,dark
359,light
360,dark
361,medium
362,medium
363,light
364,zombie
365,medium
366,medium
367,dark
368,medium
369,dark
370,dark
371,medium
372,ape
373,dark
374,dark
375,light
376,light
377,medium
378,dark
379,light
380,light
381,light
382,light
383,medium
384,medium
385,dark
386,medium
387,medium
388,medium
389,light
390,light
391,dark
392,medium
393,light
394,light
395,medium
396,medium
397,medium
398,dark
399,dark
400,medium
401,medium
402,dark
403,dark
404,light
405,medium
406,dark
407,light
408,dark
409,light
410,light
411,light
412,light
413,light
414,medium
415,light
416,dark
417,dark
418,dark
419,medium
420,light
421,medium
422,light
423,dark
424,light
425,dark
426,dark
427,dark
428,dark
429,medium
430,dark
431,dark
432,medium
433,medium
434,light
435,medium
436,medium
437,light
438,medium
439,medium
440,dark
441,dark
442,light
443,dark
444,dark
445,dark
446,medium
447,medium
448,light
449,medium
450,medium
451,dark
452,light
453,medium
454,dark
455,dark
456,medium
457,medium
458,dark
459,dark
460,dark
461,dark
462,dark
463,medium
464,dark
465,light
466,medium
467,light
468,dark
469,light
470,dark
471,dark
472,dark
473,light
474,dark
475,light
476,medium
477,medium
478,dark
479,light
480,medium
481,light
482,light
483,light
484,dark
485,medium
486,medium
487,dark
488,medium
489,dark
490,light
491,light
492,medium
493,dark
494,light
495,dark
496,dark
497,light
498,light
499,light
500,medium
501,medium
502,medium
503,light
504,dark
505,medium
506,medium
507,medium
508,medium
509,dark
510,medium
511,medium
512,dark
513,light
514,light
515,medium
516,medium
517,medium
518,medium
519,light
520,light
521,light
522,light
523,medium
524,dark
525,medium
526,light
527,light
528,light
529,medium
530,medium
531,dark
532,dark
533,light
534,dark
535,medium
536,dark
537,dark
538,medium
539,light
540,medium
541,light
542,medium
543,medium
544,medium
545,dark
546,medium
547,medium
548,dark
549,light
550,medium
551,medium
552,medium
553,dark
554,dark
555,dark
556,dark
557,dark
558,light
559,medium
560,medium
561,medium
562,medium
563,light
564,medium
565,medium
566,medium
567,dark
568,light
569,medium
570,light
571,light
572,dark
573,medium
574,light
575,light
576,light
577,medium
578,medium
579,dark
580,dark
581,medium
582,dark
583,light
584,dark
585,dark
586,light
587,light
588,dark
589,medium
590,dark
591,light
592,dark
593,medium
594,light
595,dark
596,medium
597,dark
598,light
599,medium
600,light
601,dark
602,light
603,light
604,medium
605,medium
606,light
607,medium
608,light
609,dark
610,medium
611,medium
612,light
613,medium
614,light
615,medium
616,light
617,dark
618,dark
619,medium
620,medium
621,medium
622,medium
623,medium
624,dark
625,dark
626,medium
627,light
628,light
629,medium
630,medium
631,medium
632,medium
633,medium
634,light
635,alien
636,medium
637,medium
638,medium
639,dark
640,light
641,light
642,medium
643,medium
644,light
645,light
646,dark
647,light
648,medium
649,medium
650,medium
651,light
652,dark
653,medium
654,light
655,medium
656,light
657,medium
658,light
659,light
660,dark
661,dark
662,light
663,dark
664,light
665,dark
666,light
667,medium
668,medium
669,medium
670,dark
671,dark
672,light
673,medium
674,light
675,dark
676,dark
677,light
678,dark
679,medium
680,dark
681,medium
682,medium
683,light
684,medium
685,medium
686,medium
687,light
688,dark
689,dark
690,medium
691,medium
692,medium
693,dark
694,light
695,medium
696,light
697,dark
698,light
699,dark
700,dark
701,light
702,light
703,light
704,medium
705,medium
706,medium
707,medium
708,dark
709,dark
710,medium
711,light
712,light
713,dark
714,medium
715,medium
716,medium
717,light
718,medium
719,medium
720,light
721,dark
722,dark
723,medium
724,light
725,medium
726,medium
727,dark
728,light
729,light
730,medium
731,dark
732,light
733,light
734,medium
735,medium
736,medium
737,dark
738,medium
739,medium
740,medium
741,dark
742,light
743,dark
744,light
745,medium
746,medium
747,medium
748,dark
749,dark
750,dark
751,medium
752,medium
753,light
754,medium
755,light
756,light
757,dark
758,dark
759,dark
760,light
761,dark
762,light
763,medium
764,medium
765,medium
766,medium
767,light
768,light
769,medium
770,dark
771,medium
772,dark
773,light
774,medium
775,medium
776,dark
777,medium
778,light
779,light
780,dark
781,light
782,light
783,light
784,light
785,medium
786,medium
787,medium
788,light
789,light
790,light
791,dark
792,light
793,medium
794,medium
795,medium
796,light
797,medium
798,dark
799,light
800,light
801,light
802,light
803,dark
804,dark
805,medium
806,medium
807,dark
808,medium
809,dark
810,light
811,light
812,medium
813,light
814,medium
815,light
816,light
817,dark
818,medium
819,medium
820,medium
821,medium
822,dark
823,light
824,dark
825,light
826,light
827,light
828,light
829,light
830,light
831,light
832,dark
833,dark
834,medium
835,dark
836,medium
837,light
838,light
839,light
840,dark
841,medium
842,medium
843,light
844,dark
845,light
846,light
847,light
848,light
849,medium
850,light
851,medium
852,light
853,dark
854,dark
855,light
856,light
857,light
858,medium
859,dark
860,medium
861,dark
862,dark
863,light
864,light
865,medium
866,light
867,light
868,light
869,dark
870,light
871,medium
872,medium
873,light
874,dark
875,medium
876,dark
877,dark
878,medium
879,medium
880,medium
881,light
882,light
883,medium
884,light
885,dark
886,medium
887,medium
888,medium
889,dark
890,medium
891,dark
892,medium
893,light
894,light
895,light
896,light
897,light
898,dark
899,dark
900,light
901,dark
902,dark
903,light
904,medium
905,dark
906,light
907,dark
908,medium
909,medium
910,medium
911,light
912,dark
913,dark
914,dark
915,medium
916,light
917,medium
918,medium
919,light
920,medium
921,light
922,light
923,dark
924,dark
925,light
926,light
927,dark
928,medium
929,medium
930,medium
931,dark
932,dark
933,dark
934,light
935,dark
936,light
937,light
938,medium
939,medium
940,medium
941,dark
942,dark
943,dark
944,light
945,light
946,dark
947,dark
948,light
949,light
950,dark
951,light
952,medium
953,dark
954,light
955,dark
956,dark
957,light
958,light
959,dark
960,medium
961,light
962,light
963,light
964,dark
965,light
966,light
967,light
968,medium
969,medium
970,medium
971,light
972,medium
973,medium
974,dark
975,medium
976,medium
977,light
978,light
979,dark
980,medium
981,medium
982,dark
983,medium
984,medium
985,medium
986,dark
987,zombie
988,light
989,medium
990,medium
991,medium
992,light
993,light
994,light
995,medium
996,light
997,light
998,dark
